Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,Mexico,,Monterrey,1,1,2020,54.4
South/Central America & Carribean,Argentina,,Buenos Aires,1,1,2020,72.5
South/Central America & Carribean,Bahamas,,Nassau,1,1,2020,74.4
South/Central America & Carribean,Belize,,Belize City,1,1,2020,77.0
South/Central America & Carribean,Bolivia,,La Paz,1,1,2020,47.4
South/Central America & Carribean,Brazil,,Brasilia,1,1,2020,73.7
South/Central America & Carribean,Brazil,,Rio de Janeiro,1,1,2020,83.3
South/Central America & Carribean,Brazil,,Sao Paulo,1,1,2020,79.0
South/Central America & Carribean,Colombia,,Bogota,1,1,2020,56.8
South/Central America & Carribean,Costa Rica,,San Jose,1,1,2020,73.4
South/Central America & Carribean,Cuba,,Havana,1,1,2020,73.0
South/Central America & Carribean,Dominican Republic,,Santo Domingo,1,1,2020,80.1
South/Central America & Carribean,Equador,,Guayaquil,1,1,2020,81.1
South/Central America & Carribean,Guatemala,,Guatemala City,1,1,2020,66.8
South/Central America & Carribean,Haiti,,Port au Prince,1,1,2020,82.7
South/Central America & Carribean,Honduras,,Tegucigalpa,1,1,2020,65.8
South/Central America & Carribean,Nicaragua,,Managua,1,1,2020,80.0
South/Central America & Carribean,Panama,,Panama City,1,1,2020,78.7
South/Central America & Carribean,Suriname,,Paramaribo,1,1,2020,78.0
South/Central America & Carribean,Uruguay,,Montvideo,1,1,2020,70.2
South/Central America & Carribean,Venezuela,,Caracas,1,1,2020,78.2
North America,US,Alabama,Birmingham,1,1,2020,44.4
North America,US,Alabama,Huntsville,1,1,2020,40.8
North America,US,Alabama,Mobile,1,1,2020,45.8
North America,US,Alabama,Montgomery,1,1,2020,44.7
North America,US,Alaska,Anchorage,1,1,2020,23.5
North America,US,Alaska,Fairbanks,1,1,2020,-0.9
North America,US,Alaska,Juneau,1,1,2020,40.3
North America,US,Arizona,Phoenix,1,1,2020,50.4
North America,US,Arizona,Tucson,1,1,2020,46.6
North America,US,Arkansas,Fort Smith,1,1,2020,37.4
North America,US,Arkansas,Little Rock,1,1,2020,39.9
North America,US,California,Fresno,1,1,2020,47.9
North America,US,California,Los Angeles,1,1,2020,60.6
North America,US,California,Sacramento,1,1,2020,47.9
North America,US,California,San Diego,1,1,2020,57.2
North America,US,California,San Francisco,1,1,2020,53.0
North America,US,Colorado,Colorado Springs,1,1,2020,37.9
North America,US,Colorado,Denver,1,1,2020,37.0
North America,US,Colorado,Grand Junction,1,1,2020,19.1
North America,US,Colorado,Pueblo,1,1,2020,38.6
North America,US,Connecticut,Bridgeport,1,1,2020,39.6
North America,US,Connecticut,Hartford Springfield,1,1,2020,35.4
North America,US,District of Columbia,Washington,1,1,2020,45.9
North America,US,District of Columbia,Washington,1,1,2020,45.9
North America,US,Maryland,Washington DC,1,1,2020,45.9
North America,US,Maryland,Washington DC,1,1,2020,45.9
North America,US,Florida,Jacksonville,1,1,2020,50.5
North America,US,Florida,Miami Beach,1,1,2020,70.2
North America,US,Florida,Orlando,1,1,2020,60.2
North America,US,Florida,Tallahassee,1,1,2020,46.9
North America,US,Florida,Tampa St. Petersburg,1,1,2020,62.4
North America,US,Florida,West Palm Beach,1,1,2020,66.7
North America,US,Georgia,Atlanta,1,1,2020,44.8
North America,US,Georgia,Columbus,1,1,2020,46.2
North America,US,Georgia,Macon,1,1,2020,46.9
North America,US,Georgia,Savannah,1,1,2020,50.8
North America,US,Hawaii,Honolulu,1,1,2020,76.0
North America,US,Idaho,Boise,1,1,2020,40.2
North America,US,Idaho,Pocatello,1,1,2020,33.0
North America,US,Illinois,Chicago,1,1,2020,28.3
North America,US,Illinois,Peoria,1,1,2020,32.8
North America,US,Illinois,Rockford,1,1,2020,25.9
North America,US,Illinois,Springfield,1,1,2020,35.9
North America,US,Indiana,Evansville,1,1,2020,40.0
North America,US,Indiana,Fort Wayne,1,1,2020,31.9
North America,US,Indiana,Indianapolis,1,1,2020,36.7
North America,US,Indiana,South Bend,1,1,2020,29.5
North America,US,Iowa,Des Moines,1,1,2020,31.1
North America,US,Iowa,Sioux City,1,1,2020,29.2
North America,US,Kansas,Goodland,1,1,2020,34.1
North America,US,Kansas,Topeka,1,1,2020,38.0
North America,US,Kansas,Wichita,1,1,2020,37.5
North America,US,Kentucky,Lexington,1,1,2020,41.7
North America,US,Kentucky,Louisville,1,1,2020,41.6
North America,US,Kentucky,Paducah,1,1,2020,40.8
North America,US,Louisiana,Lake Charles,1,1,2020,52.7
North America,US,Louisiana,New Orleans,1,1,2020,55.5
North America,US,Louisiana,Shreveport,1,1,2020,42.5
North America,US,Maine,Caribou,1,1,2020,26.6
North America,US,Maine,Portland,1,1,2020,34.9
North America,US,Maryland,Baltimore,1,1,2020,44.6
North America,US,Massachusetts,Boston,1,1,2020,39.4
North America,US,Michigan,Detroit,1,1,2020,30.0
