id_rosstat,indicator,vozr,grup_2,migr,mest,nazsostv,region,mun_level,munr,municipality,oktmo,mun_type,year,value,unit,period
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2010,360,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2011,355,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2012,354,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2013,351,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2014,336,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2015,320,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2016,296,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2017,254,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2018,238,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2019,205,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Волоконовский муниципальный район,Волоконовский муниципальный район,14630000,10,2020,198,чел,Значение показателя за год
